Delivery Date,Delivery Cost
2022-03-24,60.59
2021-02-18,95.67
2020-04-08,98.8
2021-10-02,1.11
2020-04-09,34.25
2021-02-27,90.73
2021-07-05,68.1
2022-12-27,26.88
2022-05-24,81.75
2021-04-18,34.11
2021-02-13,40.64
2022-03-21,42.55
2020-08-11,27.72
2022-01-29,76.57
2020-11-04,52.89
2020-08-21,33.88
2021-08-16,51.49
2021-10-02,40.12
2021-01-17,79.15
2020-12-22,76.19
2020-08-19,88.95
2020-12-17,38.71
2021-08-15,95.04
2022-04-15,14.62
2020-10-20,97.35
2021-02-19,72.19
2021-11-15,32.18
2021-04-04,84.32
2022-09-17,16.43
2020-10-14,29.68
2022-05-31,17.98
2020-03-22,63.49
2021-02-09,22.11
2020-01-08,11.59
2020-11-08,21.36
2022-01-26,79.73
2022-11-06,15.22
2021-08-20,65.41
2022-10-23,2.73
2019-12-24,23.13
2022-04-01,1.29
2021-03-24,95.47
2020-06-21,68.15
2020-07-01,67.86
2021-04-25,75.78
2022-04-20,37.47
2021-02-18,71.27
2022-09-07,9.14
2022-01-29,23.55
2019-11-14,49.99
2019-11-28,69.3
2022-12-12,45.19
2020-08-10,95.17
2022-10-01,12.29
2021-03-23,71.09
2022-04-26,2.96
2022-02-04,12.42
2022-01-22,28.42
2022-07-15,48.27
2021-09-16,15.31
2020-06-01,53.96
2020-06-05,63.3
2020-03-20,69.98
2021-08-24,5.11
2022-11-11,2.44
2022-12-11,88.13
2022-06-05,45.1
2021-04-27,82.69
2020-01-15,83.03
2022-11-17,84.78
2021-12-30,31.42
2021-05-30,62.45
2021-12-05,87.14
2021-12-30,7.61
2020-12-11,35.76
2022-03-28,80.41
2021-07-19,54.17
2022-08-12,75
2022-03-05,86.7
2020-03-08,97.38
2022-12-18,5.5
2020-12-09,85.02
2020-10-23,37.31
2022-03-06,88.46
2021-08-29,40.45
2020-12-01,82
2020-10-22,19.23
2022-12-23,23.7
2020-03-01,33.39
2022-02-07,50.68
2022-04-17,41.52
2019-12-23,67.13
2020-05-21,47.99
2022-08-22,22.97
2023-01-06,62.99
2020-06-29,80.79
2022-11-09,6.88
2021-09-20,79.07
2021-12-10,18.74
2021-02-14,15.15
2020-08-14,39.81
2020-09-15,22.93
2022-01-09,69.65
2020-02-04,46.94
2020-09-20,22.59
2020-05-12,31.08
2021-02-08,41.56
2020-11-27,27.66
2021-11-30,56.36
2020-12-15,19.52
2020-11-14,58.53
2020-07-22,62.25
2021-12-26,4.39
2022-11-10,93.67
2022-02-19,24.52
2020-12-17,10.59
2022-12-29,22.25
2020-10-30,61.96
2020-04-30,32.94
2020-10-01,72.56
2022-09-14,35.68
2022-06-24,56.88
2022-09-28,43.48
2020-10-23,77.08
2019-11-30,39.54
2021-03-24,60.62
2020-03-22,23.21
2021-11-30,78.77
2021-09-22,37.54
2020-12-27,13.32
2021-10-18,9.06
2019-10-22,12.22
2021-03-04,48.03
2021-03-23,40.77
2019-11-14,79.95
2021-09-02,52.85
2022-10-17,12.91
2022-12-23,17.27
2020-10-07,11.79
2020-02-28,35.98
2020-06-03,26.48
2022-04-16,38.54
2020-05-25,91.08
2020-12-02,44.96
2021-01-16,45.13
2020-01-25,94.08
2022-01-29,57.79
2021-03-13,64.82
2020-09-03,43.71
2020-10-10,51.9
2020-10-13,30.86
2020-07-15,58.67
2022-08-19,5.16
2021-12-07,24.1
2020-09-06,27.97
2023-01-03,47.1
2020-01-05,18.71
2020-01-09,97.04
2020-07-19,30.83
2020-07-04,54.27
2021-11-20,84.47
2021-12-01,58.57
2022-05-04,9.46
2021-02-15,92.59
2022-03-28,22.55
2021-03-23,12.72
2020-10-11,70.44
2022-06-03,96.19
2022-02-07,78.26
2022-02-13,97.89
2020-09-25,78.38
2022-02-07,26.67
2021-04-17,46.79
2021-12-25,80.25
2021-11-26,91.32
2022-06-11,82.08
2020-11-27,75.43
2021-07-17,69.63
2020-09-27,67.77
2019-10-23,61.97
2020-11-15,81.05
2020-03-13,94.09
2022-02-02,9.08
2021-12-20,97.84
2022-12-07,96.68
2021-12-03,87.37
2021-02-21,66.91
2021-03-19,48.14
2022-05-11,78.92
2020-04-02,93.82
2020-02-28,49.11
2020-12-30,89.06
2020-02-03,44.61
2022-08-24,31.4
2022-05-22,70.04
2021-07-22,69.96
2020-08-31,83.03
2020-11-08,79.2
2022-01-23,48.22
2021-03-13,91.92
2021-05-04,37.6
2022-08-10,80.27
2020-03-04,60.71
2022-11-17,97
2022-12-14,66.96
2022-06-13,35.1
2020-10-21,82.94
2020-04-08,93.03
2020-07-29,5.15
2022-02-15,71.81
2021-02-01,23.12
2021-06-14,47.24
2022-03-14,10.42
2021-01-11,53.58
2019-12-30,34.58
2020-01-02,34.74
2022-12-06,64.55
2020-11-12,63.79
2022-04-04,4.19
2022-04-03,11.54
2021-01-14,35.27
2019-11-11,41.55
2021-08-02,11.6
2022-07-12,97.43
2021-12-12,88.2
2022-12-27,49.51
2022-11-25,63.21
2021-11-27,70.29
2022-09-26,59.41
2021-09-08,32.19
2022-11-08,19.61
2020-07-26,22.97
2022-04-04,21.93
2020-02-27,95.44
2021-10-17,46.51
2022-01-30,75.37
2020-07-12,28.81
2022-01-05,83.15
2022-11-09,23.66
2019-12-09,34.81
2020-04-19,17.97
2020-09-14,15.02
2022-06-19,36.9
2021-04-24,10.31
2019-12-12,45.2
2020-11-03,28.47
2019-12-27,96.6
2020-11-08,42.07
2021-05-25,54.58
2022-06-08,48.81
2022-07-16,38.87
2021-12-27,8.74
2019-11-23,56.17
2019-11-19,11.13
2021-12-19,57.97
2021-10-18,73.07
2022-01-12,87.28
2022-04-18,43.16
2022-10-25,16.13
2019-11-15,81.93
2022-04-23,72.37
2021-08-30,2.37
2021-03-30,71.6
2021-07-12,90.55
2022-02-28,23.37
2021-09-10,76.5
2022-09-17,95.49
2020-08-31,24.52
2022-02-16,33.54
2021-12-25,76.45
2020-03-11,93.24
2022-07-23,67.43
2021-02-08,48.82
2022-05-15,8.36
2020-07-23,93.91
2022-10-26,23.66
2022-03-24,38.14
2022-10-03,19.04
2020-11-07,52.84
2019-12-19,78.22
2022-04-02,95.46
2021-12-13,97.48
2021-08-15,54.48
2019-12-14,60.42
2021-03-03,89.79
2021-08-14,18.23
2020-08-06,28.07
2021-06-19,96.4
2020-01-05,88.23
2021-10-30,79.57
2020-11-29,72.74
2019-11-08,32.25
2022-12-20,23.13
2020-07-14,68.47
2021-06-25,40.45
2021-08-12,22.47
2020-05-21,47.57
2021-05-24,1.3
2022-04-14,20.84
2019-12-22,48.29
2021-10-06,22.16
2019-10-18,98.88
2021-01-06,73.62
2022-05-26,15.75
2021-03-01,38.29
2021-02-12,46.97
2020-11-23,82.01
2022-12-26,38.39
2020-12-07,79.15
2022-03-14,53.86
2022-04-09,6.12
2020-12-17,65.84
2021-12-23,32.08
2021-07-05,65.68
2020-01-25,8.48
2022-09-23,47.03
2022-08-11,62.5
2021-07-17,67.22
2020-11-03,9.08
2019-12-01,30.49
2021-07-09,89.27
2019-12-23,26.15
2022-10-04,57.91
2021-04-08,31.19
2022-09-02,82.75
2022-04-06,89.17
2022-05-10,28.45
2021-04-28,70.86
2021-01-28,45.51
2021-08-23,50.21
2020-08-26,31.46
2020-12-17,97.38
2022-07-17,78.48
2021-08-13,56.68
2019-10-29,25.46
2021-07-28,84.22
2021-12-12,7.13
2022-05-18,17.95
2020-01-11,22.2
2022-10-16,95.26
2020-09-29,42.52
2020-03-26,74.55
2021-02-12,84.75
2021-01-05,56.75
2021-03-15,31.2
2022-11-21,56.95
2020-01-06,54.82
2021-02-14,85.69
2020-06-22,62.33
2021-01-05,12.55
2020-10-29,70.38
2022-03-18,38.75
2019-12-21,39.92
2020-08-10,50.27
2022-03-05,69.04
2020-06-19,34.06
2022-09-04,71.84
2022-11-18,1.54
2022-04-16,11.31
2021-07-05,43.93
2022-05-04,76.09
2020-11-01,65.98
2022-12-10,90.81
2020-08-25,98.91
2020-05-24,67.12
2022-11-08,55.99
2021-01-29,49.56
2022-02-28,46.17
2021-05-30,46.14
2022-01-21,53.31
2020-10-23,10.21
2022-02-12,20.57
2020-01-28,82.35
2022-10-02,29.18
2022-04-23,81.38
2022-05-16,92.5
2020-10-06,71.17
2022-09-07,34.78
2022-11-13,79.1
2022-03-27,33.65
2020-08-06,28.92
2021-08-24,16.49
2021-03-18,37.38
2022-08-19,67.55
2020-06-19,29.44
2020-12-05,18.25
2022-05-25,37.33
2022-10-29,49.17
2020-07-29,19.57
2022-10-07,9.05
2021-08-14,58.26
2022-10-02,90.72
2020-07-10,55.56
2021-05-09,34.66
2022-05-18,82.97
2020-12-06,3.49
2020-02-16,85.16
2021-04-14,88.47
2020-02-07,19.2
2022-10-13,68.66
2020-03-19,81.2
2021-01-25,16.63
2022-10-28,58.35
2019-12-26,64.76
2022-09-04,94.91
2021-12-27,6.73
2020-12-25,93.73
2020-07-06,60.61
2020-11-23,68.82
2022-01-31,23.41
2022-12-15,20
2021-06-12,52.22
2020-11-01,15.81
2022-10-09,77.94
2022-06-02,6.2
2020-11-07,77.15
2022-04-03,51.14
2021-03-29,34.02
2020-06-15,24.16
2021-05-09,87.74
2022-06-04,62.02
2020-09-20,57.26
2021-12-06,94.66
2022-03-29,17.22
2020-01-16,6.66
2021-01-07,29.86
2020-09-15,90.7
2020-09-12,3.26
2021-03-06,65.76
2021-03-06,69.64
2022-09-27,87.84
2020-06-05,66.85
2023-01-06,3.9
2022-04-19,92.42
2022-12-31,97.39
2022-12-09,42.27
2022-01-09,63.38
2021-10-24,98.66
2019-12-02,84.55
2021-01-04,6.97
2020-05-15,90.58
2020-07-08,1.93
2020-01-11,57.59
2020-11-21,15.75
2022-03-04,27.24
2021-11-02,6.82
2021-06-11,92.48
2022-12-08,48.35
2021-05-03,37.46
2020-03-26,55.95
2020-05-01,45.38
2022-10-20,19.97
2020-07-18,45.82
2022-10-07,13.72
2022-03-28,2.88
2022-10-27,68.35
2022-08-06,18.38
2021-10-13,66.45
2021-05-20,5.79
2022-10-11,58.93
2020-01-10,75.09
2019-11-25,7.27
2020-08-19,3.92
2022-06-24,3.97
2020-11-23,23.26
2019-11-17,30.05
2021-03-09,23.27
2021-04-25,39.7
2022-08-09,57.86
2020-09-03,28.8
2019-12-07,61.81
2022-04-24,4.91
2022-03-30,52.14
2020-11-05,71.33
2021-09-30,11.92
2020-02-29,9.55
2020-01-25,55.57
2020-05-29,76.57
2020-07-12,5.9
2020-11-14,45.63
2021-09-13,25.22
2020-12-19,76.28
2022-10-28,97.5
2020-02-07,99.91
2021-05-21,75.97
2022-12-15,55.79
2020-10-10,27.37
2021-09-01,29.43
2021-02-19,60.3
2019-12-06,98.37
2020-05-15,1.89
2021-05-18,25.25
2022-09-10,64.45
2020-11-05,77.41
2022-08-04,32.98
2022-10-22,16.55
2020-11-07,94.67
2020-06-11,70.25
2022-03-19,12.68
2020-01-17,89.62
2020-05-17,85.98
2021-02-22,28.61
2021-05-06,39.38
2020-02-07,32.99
2023-01-07,11.01
2022-10-09,92.43
2022-12-31,20.36
2022-08-08,26.1
2021-07-16,87.22
2020-04-11,47.62
2021-12-15,89.17
2022-03-28,59.34
2022-06-16,95.57
2021-06-01,45.76
2020-09-16,38.54
2021-04-02,74.77
2020-05-01,42.38
2021-11-15,22.22
2020-07-16,82.65
2022-08-18,78.3
2020-06-06,69.36
2022-04-05,78.89
2022-07-18,90.45
2022-04-02,68.51
2019-12-21,70.16
2022-06-07,19.15
2022-12-25,25.85
2021-03-27,61.21
2021-07-16,25.81
2021-01-21,48.96
2021-12-20,14.14
2021-04-13,46.39
2022-01-24,70.86
2020-09-13,57.58
2021-06-19,61.99
2021-05-19,60.01
2019-12-08,84.96
2019-12-28,23.14
2022-11-18,98.37
2021-08-23,75.15
2022-09-28,37.97
2019-12-16,50.46
2022-06-26,42.98
2022-01-10,35.67
2021-05-16,64.54
2022-07-09,25.96
2022-12-22,74.65
2022-01-17,41.61
2020-09-01,6.99
2021-03-15,19.54
2020-12-30,24.01
2020-01-01,3.53
2022-02-16,72.53
2020-11-13,98.3
2021-03-03,63.5
2020-01-14,58.29
2020-04-17,24.65
2020-01-22,97.24
2022-06-08,19.02
2021-06-28,15.04
2019-11-04,74.3
2021-09-20,92.69
2023-01-01,25.73
2022-08-10,6.69
2022-05-18,8.09
2020-03-25,36.96
2021-08-17,82.11
2020-04-17,47.23
2021-12-05,93.77
2022-01-21,98.95
2022-12-13,54.44
2021-06-25,8.14
2020-07-30,37.51
2021-02-11,51.43
2021-09-03,74.7
2022-01-19,36.44
2022-03-31,47.65
2020-01-10,25.11
2020-09-11,65.94
2021-02-08,7.28
2022-11-19,27.89
2019-11-15,93.07
2020-02-11,58.74
2020-01-03,28.26
2020-09-14,85.99
2020-03-02,33.22
2022-01-31,20.05
2021-07-27,59.57
2020-11-08,4.85
2022-10-30,6.42
2021-01-13,31.71
2021-05-31,15.68
2022-01-28,73.42
2022-11-11,46.07
2022-03-05,81.9
2021-06-25,19.72
2022-04-13,61.44
2021-07-27,3.27
2022-11-08,22.44
2020-02-21,64.98
2021-05-12,57.1
2022-11-21,85.71
2022-06-08,27.26
2021-12-11,48.23
2021-01-06,52.49
2020-07-05,20.58
2021-08-22,87.91
2021-09-04,38.53
2020-12-15,87.11
2021-05-16,22.51
2021-09-01,48.72
2022-02-19,51.42
2022-11-01,20.37
2022-12-20,51.08
2019-12-03,53.49
2020-01-12,90.55
2020-01-08,30.22
2022-03-29,56.38
2021-04-22,99.59
2022-07-07,95.49
2021-07-16,56.21
2020-11-25,15.52
2021-05-19,10.59
2020-11-14,66.48
2021-09-17,4.31
2021-10-23,66.26
2022-08-30,57.01
2021-01-18,57.61
2021-02-26,10.89
2022-03-24,13.44
2021-10-28,17.1
2022-06-21,49.23
2022-10-18,66.41
2020-02-06,1.6
2021-02-21,41
2020-12-11,93.73
2022-04-18,64.89
2020-01-31,39.12
2022-01-05,71.65
2020-08-25,46.74
2019-10-13,26.74
2022-11-03,94.37
2020-01-11,3.8
2019-11-20,83.5
2021-05-12,63.5
2022-08-22,54.31
2022-11-18,93.92
2020-01-22,97.34
2022-02-23,80.59
2022-10-05,98.46
2020-05-06,3.68
2019-12-10,61.23
2022-04-11,38.02
2022-11-22,61.83
2022-06-10,51.14
2021-08-20,38.79
2022-06-23,59.71
2020-09-05,65.6
2020-12-05,60.78
2022-03-03,14.26
2020-01-01,61.94
2022-05-02,78.63
2020-10-16,98.47
2022-05-31,14.67
2021-05-30,77.9
2022-05-24,79.71
2021-11-11,86.23
2021-04-27,18.98
2021-12-23,96.8
2022-04-16,39.16
2022-11-04,34.65
2020-12-31,83.91
2021-06-11,74.6
2020-10-18,94.51
2021-11-27,24.09
2020-03-29,64.54
2022-12-08,34.35
2021-10-06,98.53
2021-12-19,81.55
2022-11-27,53.18
2020-01-18,56.37
2022-12-07,17.36
2022-09-11,65.23
2021-05-08,61.58
2021-02-16,81.1
2021-03-14,29.24
2020-04-13,5.93
2020-06-06,44.09
2021-10-22,59.96
2021-07-21,32.9
2022-06-23,17
2019-11-04,34.26
2022-02-27,94.88
2021-05-01,25.74
2022-12-26,26.56
2020-10-07,81.25
2022-08-24,89.59
2020-12-28,77.46
2020-10-22,41.1
2022-04-06,99.88
2021-11-11,39.14
2021-04-26,33.81
2020-02-06,25.04
2022-06-09,62.97
2022-03-24,8.3
2021-10-13,73.6
2022-01-10,83.37
2021-09-04,58.69
2022-02-26,81.42
2021-09-29,89.75
2022-01-05,27.96
2021-01-19,3.18
2021-06-28,50.56
2020-07-02,4.86
2019-12-15,53.62
2022-06-06,14.25
2020-07-09,84.16
2020-08-10,61.04
2021-03-26,84.84
2021-11-13,77.64
2021-06-29,63.42
2021-06-30,60.25
2021-05-03,94.51
2022-10-21,8.47
2022-06-12,79.35
2023-01-02,44.12
2022-12-03,31.11
2019-10-26,13.82
2021-03-14,76.69
2020-10-19,88.65
2021-12-18,79.75
2020-03-23,78.93
2019-10-30,93.63
2021-01-31,54.36
2020-02-25,50.13
2022-05-15,80.59
2019-12-30,1.49
2022-08-30,65.5
2021-01-01,31.52
2022-09-23,58.19
2022-06-05,57.11
2022-03-03,82.41
2021-08-26,35.4
2021-11-24,11.8
2021-11-29,69.23
2022-11-08,14.79
2021-11-16,8.56
2020-06-02,39.97
2020-06-13,36.43
2022-11-19,96.44
2022-12-15,65.53
2022-05-04,74.87
2020-10-28,79.28
2020-08-31,62.94
2021-12-13,14.45
2020-09-09,17.51
2021-06-14,79.63
2022-05-25,97.86
2019-10-10,67.47
2021-06-29,2.33
2020-05-11,75.76
2020-12-16,97.5
2020-06-11,99.07
2019-10-20,76.95
2022-06-20,79.07
2022-04-14,89.12
2022-06-07,91.98
2021-08-04,62.81
2019-12-02,34.16
2022-08-13,26.82
2020-04-20,36.69
2022-02-09,62.03
2019-11-05,30.17
2021-10-14,10.08
2022-01-08,14.19
2022-09-12,67.87
2020-08-16,31.25
2021-05-05,34.68
2021-02-13,22.68
2020-10-12,49.46
2021-10-20,28.02
2022-11-04,9.48
2020-10-05,43.62
2020-08-17,55.72
2020-03-26,60.51
2020-07-17,96.75
2020-04-24,36.37
2020-04-13,5.49
2021-02-02,63.64
2020-01-13,5.04
2019-10-26,56.95
2020-12-27,91.05
2021-04-16,86.28
2021-11-13,31.34
2019-11-28,85.08
2021-04-17,25.98
2022-01-07,96.84
2020-07-05,31.22
2020-03-17,88.76
2021-11-27,63.21
2022-10-14,17.25
2019-12-03,39.3
2022-04-06,53.56
2019-12-29,28.6
2020-12-30,61.97
2021-12-15,36.98
2021-09-28,27.07
2020-01-05,60.52
2020-02-04,56.51
2020-10-11,10.69
2022-09-03,95.63
2020-04-19,27.41
2020-11-06,41.35
2022-11-19,81.65
2021-03-12,29.39
2022-08-31,80.78
2020-08-25,89.49
2019-12-16,85.67
2022-01-24,3.41
2021-04-04,84.09
2020-10-09,49.69
2021-05-06,15.9
2022-12-19,80.86
2021-01-25,33.7
2022-01-07,18.6
2020-12-05,86.02
2022-03-12,35.33
2021-03-18,31.82
2019-11-12,54.59
2022-12-30,51.93
2021-04-17,45.57
2022-08-31,78.35
2021-12-28,17.19
2021-09-08,83.86
2020-11-08,91.47
2022-09-01,60.4
2021-11-26,22.02
2021-03-21,32.74
2021-01-02,51.13
2022-02-20,54.68
2020-05-12,62.4
2020-08-26,63.51
2021-06-02,3.76
2020-07-17,43.56
2022-06-10,9.37
2021-08-24,81.98
2021-10-05,21.45
2022-08-28,32.78
2022-10-22,46.02
2021-04-25,95.19
2021-06-24,31.52
2020-05-21,55.26
2020-05-06,82.34
2020-01-10,48.78
2021-10-21,29.71
2021-05-15,48.52
2021-02-28,26.73
2021-03-27,19.95
2021-07-14,22.75
2021-01-13,22.4
2021-07-07,65.44
2022-02-13,55.93
2021-04-07,45.3
2020-09-25,7.25
2022-06-11,69.28
2021-06-22,17.37
2022-07-01,15.72
2021-03-22,71.12
2021-06-24,9.94
2021-04-19,4.27
2022-07-03,64.77
2022-07-19,77.22
2021-06-08,29.57
2022-02-22,71.1
2021-11-05,30.69
2022-04-15,5.97
2020-02-10,64.97
2021-07-30,83.78
2021-01-01,28.9
2022-04-28,4.52
2021-08-14,47.22
2020-09-30,60.19
2022-12-08,13.63
2021-12-10,22.46
2022-09-30,92.87
2020-10-31,76.56
2019-11-10,16
2021-01-18,16.17
2022-01-12,74.87
2022-11-12,65.51
2020-04-27,4.66
2022-10-31,49.98
2021-01-19,65.47
2022-10-03,70.45
2021-12-14,44.7
2022-09-14,63.85
2019-12-02,27.86
2022-11-21,52.95
2020-03-18,92.87
2022-09-04,43.79
2021-03-27,24.52
2020-04-09,45.83
2022-07-10,79.34
2021-09-23,1.65
2022-02-11,77.23
2021-12-05,37.86
2020-01-19,84.98
2021-10-12,98.05
2020-04-04,71.27
2022-03-12,62.6
2022-08-06,19.09
2022-07-17,29.33
2021-11-15,81.01
2022-05-29,93.41
2021-04-22,75.6
2020-10-01,25.49
2021-07-16,61.92
2020-08-12,91.86
2020-11-04,34.87
2021-04-25,88.17
2021-03-30,37.78
2021-12-24,89.59
2022-05-14,47.78
2022-06-19,58.92
2021-10-07,51.72
2022-12-02,8.35
2021-06-03,75.14
2020-04-21,97.1
2019-12-05,13.66
2021-08-03,68.57
2021-02-21,31.43
2022-07-01,82.93
2020-12-15,40.99
2020-01-07,66.59
2020-10-01,83.75
2021-06-01,54.94
2021-11-07,13.06
2020-06-22,87.07
2021-06-12,97.23
2021-09-09,75.28
2019-11-30,99.83
2022-08-28,50.71
2020-01-05,47.73
2022-05-14,67.7
2020-05-11,47.71
2020-06-28,43.53
2022-05-10,2.09
2020-03-05,20.84
2020-08-18,57.71
2022-11-11,59.75
2022-09-26,8.28
2020-11-08,27
2020-08-18,75.64
2021-06-04,89.82
2021-08-02,8.47
2020-03-26,8.53
2020-04-06,55.7
2022-02-16,24.89
2020-03-19,2.7
2020-08-07,78.44
2020-12-22,36.42
2022-10-15,23.52
2020-04-06,63.96
2020-12-10,41.62
2019-12-13,50.37
2020-10-07,13.54
2022-01-23,97.28
2020-11-09,72.25
2022-11-17,74.83
2022-12-11,21.16
2022-11-05,73.19
2021-04-17,80.5
2021-07-28,45.69
2020-11-12,80.16
2022-11-13,28.26
2022-06-03,52.61
2020-12-01,8.32
2022-07-19,45.1
2019-12-19,14.8
2021-06-09,21.93
2021-01-04,96.46
2020-08-13,30.53
2019-10-15,2.32
2021-02-04,32.21
2021-09-02,99.85
2020-03-24,39.92
2020-05-12,49.17
2020-01-26,48.07
2020-08-13,40
2021-09-18,37.08
2022-10-18,97.27
2020-06-18,94.01
2022-06-17,24.21
2021-05-10,67.14
2020-04-10,77.04
2021-04-12,53.91
2019-10-15,82.12
2020-02-06,81.13
2020-07-23,34.47
2020-02-09,94.12
2022-03-24,60.59
2021-02-18,95.67
2020-04-08,98.8
2021-10-02,1.11
2020-04-09,34.25
2021-02-27,90.73
2021-07-05,68.1
2022-12-27,26.88
2022-05-24,81.75
2021-04-18,34.11
2021-02-13,40.64
2022-03-21,42.55
2020-08-11,27.72
2022-01-29,76.57
2020-11-04,52.89
2020-08-21,33.88
2021-08-16,51.49
2021-10-02,40.12
2021-01-17,79.15
2020-12-22,76.19
2020-08-19,88.95
2020-12-17,38.71
2021-08-15,95.04
2022-04-15,14.62
2020-10-20,97.35
2021-02-19,72.19
2021-11-15,32.18
2021-04-04,84.32
2022-09-17,16.43
2020-10-14,29.68
2022-05-31,17.98
2020-03-22,63.49
2021-02-09,22.11
2020-01-08,11.59
2020-11-08,21.36
2022-01-26,79.73
2022-11-06,15.22
2021-08-20,65.41
2022-10-23,2.73
2019-12-24,23.13
2022-04-01,1.29
2021-03-24,95.47
2020-06-21,68.15
2020-07-01,67.86
2021-04-25,75.78
2022-04-20,37.47
2021-02-18,71.27
2022-09-07,9.14
2022-01-29,23.55
2019-11-14,49.99
2019-11-28,69.3
2022-12-12,45.19
2020-08-10,95.17
2022-10-01,12.29
2021-03-23,71.09
2022-04-26,2.96
